Title,Price,Reg Date,Depreciation,Mileage,Owners,URL
Audi Q5 2.0A TFSI Quattro S-tronic Sport,"$107,000","12-Feb-2019
(3y 7m COE left)","$21,690 /yr","63,800 km",1 Owner,https://www.sgcarmart.com/used-cars/info/audi-q5-20a-tfsi-1406710/?dl=4427
Mercedes-Benz C-Class C180 Avantgarde,"$36,800","14-Jun-2016
(11m COE left)","$19,050 /yr","113,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-c-class-c180-avantgarde-1406555/?dl=4775
Hyundai Kona 1.0M T-GDi,"$36,888","18-May-2018
(2y 10m COE left)","$11,860 /yr","88,299 km",1 Owner,https://www.sgcarmart.com/used-cars/info/hyundai-kona-10m-t-gdi-1406263/?dl=3626
Mitsubishi Attrage 1.2A,"$70,800","04-Jun-2021
(5y 11m COE left)","$11,490 /yr","42,174 km",1 Owner,https://www.sgcarmart.com/used-cars/info/mitsubishi-attrage-12a-1405621/?dl=1032
Toyota Wish 1.8A,"$28,800","05-Dec-2016
(1y 5m COE left)","$13,010 /yr","125,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/toyota-wish-18a-1405384/?dl=1032
Renault Megane GT 1.6A TCe,"$86,800","27-Nov-2020
(5y 5m COE left)","$13,500 /yr","24,816 km",2 Owners,https://www.sgcarmart.com/used-cars/info/renault-megane-gt-16a-1404834/?dl=3613
Honda Shuttle 1.5A G Honda Sensing,"$77,800","31-Aug-2020
(5y 2m COE left)","$14,020 /yr",N.A,2 Owners,https://www.sgcarmart.com/used-cars/info/honda-shuttle-15a-g-1404253/?dl=4633
Audi Q4 Sportback e-tron Electric 45 Sunroof,"$239,388","27-Jun-2024
(9y COE left)","$23,350 /yr","6,300 km",1 Owner,https://www.sgcarmart.com/used-cars/info/audi-q4-sportback-e-tron-1404169/?dl=4092
Land Rover Range Rover Evoque Mild Hybrid 2.0A First Edition,"$123,800","24-May-2019
(3y 10m COE left)","$22,780 /yr","49,800 km",2 Owners,https://www.sgcarmart.com/used-cars/info/land-rover-range-rover-evoque-1403570/?dl=3074
Higer H5F Electric,"$103,800","25-Apr-2025
(9y 10m COE left)","$10,550 /yr",8 km,1 Owner,https://www.sgcarmart.com/used-cars/info/higer-h5f-electric-1402110/?dl=3393
Honda Shuttle 1.5A G,"$29,800","04-Apr-2017
(1y 9m COE left)","$14,200 /yr","108,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/honda-shuttle-15a-g-1399084/?dl=3048&utm_content=SLeligible
Porsche Macan 2.0A,"$318,888","27-Jun-2023
(8y COE left)","$33,240 /yr","29,500 km",2 Owners,https://www.sgcarmart.com/used-cars/info/porsche-macan-20a-1398362/?dl=2604&utm_content=SLeligible
Mazda 6 2.0A Executive,"$91,800","30-Sep-2020
(5y 3m COE left)","$15,090 /yr","42,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mazda-6-20a-executive-1394065/?dl=3175&utm_content=SLeligible
Volkswagen Beetle 1.2A TSI Sunroof (New 5-yr COE),"$66,600","30-Nov-2015
(5y COE left)","$13,310 /yr","67,714 km",1 Owner,https://www.sgcarmart.com/used-cars/info/volkswagen-beetle-12a-tsi-1393274/?dl=3381&utm_content=SLeligible
Mercedes-Benz C-Class C180 Avantgarde,"$65,500","24-Oct-2017
(2y 3m COE left)","$18,630 /yr","123,785 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-c-class-c180-avantgarde-1390250/?dl=3518&utm_content=SLeligible
Maxus eDeliver 5 Electric,"$103,288","28-Mar-2025
(9y 9m COE left)","$10,580 /yr",N.A,1 Owner,https://www.sgcarmart.com/used-cars/info/maxus-edeliver-5-electric-1389748/?dl=4174
Audi A5 Cabriolet Mild Hybrid 2.0A TFSI S-tronic Advanced,"$192,888","01-Dec-2021
(6y 5m COE left)","$24,630 /yr","44,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/audi-a5-cabriolet-mild-1382401/?dl=3570&utm_content=SLeligible
Mercedes-Benz GLC-Class GLC200,"$155,000","20-Feb-2020
(4y 7m COE left)","$27,380 /yr","106,800 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-glc-class-glc200-1376134/?dl=4806&utm_content=SLeligible
Suzuki Vitara 1.6A GLX,"$16,900","23-Jun-2016
(11m COE left)","$10,720 /yr","155,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/suzuki-vitara-16a-glx-1366926/?dl=3518
Opel Astra Sports Tourer Diesel 1.6A Turbo,"$60,800","24-Aug-2020
(5y 1m COE left)","$9,400 /yr","72,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/opel-astra-sports-tourer-1411499/?dl=3142
Hyundai Avante 1.6A GLS S,"$60,200","20-Nov-2019
(4y 4m COE left)","$12,220 /yr","91,400 km",4 Owners,https://www.sgcarmart.com/used-cars/info/hyundai-avante-16a-gls-1411496/?dl=4847
Honda Vezel 1.5A X,"$17,800","13-May-2016
(10m COE left)","$14,370 /yr",N.A,2 Owners,https://www.sgcarmart.com/used-cars/info/honda-vezel-15a-x-1411495/?dl=4596
Volkswagen Jetta GP 1.4A TSI Comfortline,"$16,800","10-Dec-2015
(5m COE left)",N.A,N.A,4 Owners,https://www.sgcarmart.com/used-cars/info/volkswagen-jetta-gp-14a-1411494/?dl=3137
Mercedes-Benz CLA-Class CLA180 Progressive,"$178,000","31-Mar-2023
(7y 9m COE left)","$20,190 /yr","20,000 km",2 Owners,https://www.sgcarmart.com/used-cars/info/mercedes-benz-cla-class-cla180-progressive-1411486/?dl=3401
Audi A3 Sportback 1.0A TFSI S-tronic,"$48,800","05-Jan-2018
(2y 6m COE left)","$14,180 /yr","73,000 km",1 Owner,https://www.sgcarmart.com/used-cars/info/audi-a3-sportback-10a-1411484/?dl=3944
